A:4, W:2, H:2
A:192, W:96, H:2
A:195, W:13, H:15
A:198, W:3, H:66
A:200, W:2, H:100
A:207, W:9, H:23
A:208, W:16, H:13
A:208, W:16, H:13
A:210, W:6, H:35
A:216, W:36, H:6
A:219, W:3, H:73
A:230, W:5, H:46
A:231, W:33, H:7
A:232, W:4, H:58
A:234, W:9, H:26
A:234, W:6, H:39
A:240, W:20, H:12
A:240, W:15, H:16
A:240, W:12, H:20
A:240, W:24, H:10
A:242, W:22, H:11
A:245, W:7, H:35
A:249, W:3, H:83
A:252, W:18, H:14
A:252, W:14, H:18
A:255, W:17, H:15
A:255, W:5, H:51
A:256, W:4, H:64
A:260, W:52, H:5
A:260, W:26, H:10
A:261, W:87, H:3
A:261, W:29, H:9
A:265, W:53, H:5
A:267, W:89, H:3
A:267, W:3, H:89
A:270, W:54, H:5
A:276, W:4, H:69
A:282, W:47, H:6
A:285, W:15, H:19
A:288, W:18, H:16
A:294, W:98, H:3
A:297, W:9, H:33
A:300, W:5, H:60
A:300, W:5, H:60
A:300, W:25, H:12
A:304, W:38, H:8
A:306, W:9, H:34
A:310, W:10, H:31
A:312, W:24, H:13
A:315, W:45, H:7
A:315, W:21, H:15
A:318, W:53, H:6
A:320, W:16, H:20
A:320, W:16, H:20
A:322, W:46, H:7
A:333, W:9, H:37
A:340, W:17, H:20
A:340, W:85, H:4
A:340, W:34, H:10
A:345, W:69, H:5
A:351, W:9, H:39
A:352, W:8, H:44
A:360, W:72, H:5
A:363, W:33, H:11
A:370, W:37, H:10
A:376, W:4, H:94
A:384, W:16, H:24
A:385, W:77, H:5
A:385, W:5, H:77
A:385, W:7, H:55
A:392, W:56, H:7
A:392, W:98, H:4
A:396, W:18, H:22
A:400, W:80, H:5
A:402, W:67, H:6
A:405, W:27, H:15
A:406, W:7, H:58
A:408, W:34, H:12
A:408, W:34, H:12
A:410, W:41, H:10
A:418, W:38, H:11
A:430, W:5, H:86
A:430, W:86, H:5
A:432, W:16, H:27
A:434, W:7, H:62
A:441, W:49, H:9
A:450, W:9, H:50
A:450, W:30, H:15
A:451, W:41, H:11
A:455, W:13, H:35
A:462, W:22, H:21
A:468, W:52, H:9
A:472, W:59, H:8
A:474, W:6, H:79
A:474, W:6, H:79
A:477, W:53, H:9
A:480, W:15, H:32
A:480, W:80, H:6
A:480, W:16, H:30
A:485, W:97, H:5
A:485, W:97, H:5
A:495, W:55, H:9
A:506, W:11, H:46
A:507, W:13, H:39
A:512, W:64, H:8
A:517, W:47, H:11
A:518, W:14, H:37
A:518, W:14, H:37
A:520, W:40, H:13
A:525, W:15, H:35
A:528, W:48, H:11
A:529, W:23, H:23
A:533, W:41, H:13
A:546, W:13, H:42
A:552, W:23, H:24
A:552, W:6, H:92
A:559, W:13, H:43
A:560, W:10, H:56
A:567, W:21, H:27
A:567, W:63, H:9
A:567, W:9, H:63
A:570, W:6, H:95
A:576, W:8, H:72
A:576, W:6, H:96
A:576, W:6, H:96
A:588, W:28, H:21
A:588, W:42, H:14
A:589, W:19, H:31
A:594, W:11, H:54
A:594, W:99, H:6
A:602, W:86, H:7
A:608, W:38, H:16
A:612, W:9, H:68
A:624, W:24, H:26
A:627, W:57, H:11
A:658, W:7, H:94
A:658, W:47, H:14
A:664, W:83, H:8
A:664, W:83, H:8
A:665, W:35, H:19
A:682, W:62, H:11
A:684, W:57, H:12
A:688, W:8, H:86
A:690, W:23, H:30
A:693, W:21, H:33
A:693, W:9, H:77
A:693, W:7, H:99
A:700, W:35, H:20
A:702, W:13, H:54
A:703, W:19, H:37
A:704, W:22, H:32
A:705, W:15, H:47
A:712, W:89, H:8
A:714, W:34, H:21
A:720, W:24, H:30
A:720, W:30, H:24
A:720, W:18, H:40
A:726, W:11, H:66
A:726, W:11, H:66
A:728, W:56, H:13
A:728, W:14, H:52
A:729, W:9, H:81
A:731, W:43, H:17
A:735, W:15, H:49
A:736, W:92, H:8
A:736, W:32, H:23
A:741, W:19, H:39
A:741, W:19, H:39
A:744, W:24, H:31
A:747, W:9, H:83
A:750, W:10, H:75
A:752, W:16, H:47
A:756, W:54, H:14
A:759, W:23, H:33
A:760, W:95, H:8
A:770, W:11, H:70
A:775, W:25, H:31
A:780, W:60, H:13
A:782, W:34, H:23
A:792, W:88, H:9
A:800, W:20, H:40
A:800, W:40, H:20
A:810, W:9, H:90
A:814, W:11, H:74
A:816, W:34, H:24
A:826, W:14, H:59
A:832, W:26, H:32
A:832, W:32, H:26
A:840, W:60, H:14
A:840, W:40, H:21
A:840, W:30, H:28
A:846, W:47, H:18
A:846, W:9, H:94
A:846, W:9, H:94
A:847, W:77, H:11
A:855, W:9, H:95
A:855, W:19, H:45
A:855, W:57, H:15
A:855, W:95, H:9
A:864, W:27, H:32
A:867, W:17, H:51
A:874, W:46, H:19
A:880, W:44, H:20
A:884, W:13, H:68
A:884, W:52, H:17
A:888, W:24, H:37
A:888, W:24, H:37
A:891, W:99, H:9
A:893, W:47, H:19
A:897, W:69, H:13
A:899, W:29, H:31
A:900, W:30, H:30
A:912, W:19, H:48
A:912, W:19, H:48
A:918, W:27, H:34
A:924, W:28, H:33
A:935, W:85, H:11
A:936, W:24, H:39
A:944, W:59, H:16
A:945, W:35, H:27
A:950, W:25, H:38
A:952, W:68, H:14
A:952, W:17, H:56
A:960, W:64, H:15
A:966, W:21, H:46
A:972, W:12, H:81
A:972, W:36, H:27
A:988, W:19, H:52
A:990, W:66, H:15
A:1000, W:25, H:40
A:1008, W:36, H:28
A:1008, W:28, H:36
A:1012, W:92, H:11
A:1015, W:29, H:35
A:1020, W:68, H:15
A:1023, W:11, H:93
A:1024, W:64, H:16
A:1034, W:11, H:94
A:1037, W:61, H:17
A:1037, W:61, H:17
A:1037, W:61, H:17
A:1040, W:52, H:20
A:1050, W:14, H:75
A:1050, W:50, H:21
A:1056, W:44, H:24
A:1064, W:19, H:56
A:1066, W:13, H:82
A:1071, W:51, H:21
A:1075, W:43, H:25
A:1075, W:25, H:43
A:1088, W:17, H:64
A:1110, W:74, H:15
A:1116, W:62, H:18
A:1116, W:36, H:31
A:1120, W:14, H:80
A:1127, W:49, H:23
A:1128, W:47, H:24
A:1131, W:13, H:87
A:1134, W:63, H:18
A:1134, W:42, H:27
A:1139, W:17, H:67
A:1152, W:64, H:18
A:1152, W:48, H:24
A:1156, W:17, H:68
A:1157, W:89, H:13
A:1157, W:13, H:89
A:1170, W:78, H:15
A:1170, W:15, H:78
A:1176, W:84, H:14
A:1178, W:38, H:31
A:1178, W:38, H:31
A:1183, W:13, H:91
A:1188, W:99, H:12
A:1188, W:22, H:54
A:1196, W:46, H:26
A:1196, W:52, H:23
A:1196, W:23, H:52
A:1200, W:48, H:25
A:1200, W:25, H:48
A:1207, W:17, H:71
A:1207, W:17, H:71
A:1209, W:93, H:13
A:1218, W:58, H:21
A:1220, W:61, H:20
A:1224, W:18, H:68
A:1224, W:18, H:68
A:1224, W:51, H:24
A:1224, W:24, H:51
A:1232, W:77, H:16
A:1232, W:14, H:88
A:1232, W:44, H:28
A:1235, W:19, H:65
A:1240, W:20, H:62
A:1242, W:54, H:23
A:1246, W:14, H:89
A:1248, W:26, H:48
A:1254, W:33, H:38
A:1258, W:34, H:37
A:1258, W:37, H:34
A:1260, W:70, H:18
A:1269, W:27, H:47
A:1273, W:67, H:19
A:1288, W:23, H:56
A:1295, W:37, H:35
A:1298, W:22, H:59
A:1320, W:15, H:88
A:1320, W:55, H:24
A:1342, W:22, H:61
A:1344, W:21, H:64
A:1360, W:16, H:85
A:1372, W:49, H:28
A:1372, W:49, H:28
A:1377, W:27, H:51
A:1386, W:14, H:99
A:1395, W:15, H:93
A:1404, W:36, H:39
A:1408, W:32, H:44
A:1416, W:24, H:59
A:1426, W:31, H:46
A:1428, W:34, H:42
A:1440, W:96, H:15
A:1440, W:32, H:45
A:1445, W:85, H:17
A:1449, W:21, H:69
A:1450, W:29, H:50
A:1457, W:47, H:31
A:1457, W:47, H:31
A:1460, W:20, H:73
A:1470, W:49, H:30
A:1475, W:59, H:25
A:1494, W:18, H:83
A:1500, W:75, H:20
A:1500, W:30, H:50
A:1505, W:35, H:43
A:1508, W:26, H:58
A:1512, W:28, H:54
A:1517, W:41, H:37
A:1520, W:95, H:16
A:1521, W:39, H:39
A:1521, W:39, H:39
A:1536, W:32, H:48
A:1548, W:18, H:86
A:1554, W:37, H:42
A:1560, W:65, H:24
A:1560, W:30, H:52
A:1560, W:26, H:60
A:1568, W:32, H:49
A:1575, W:75, H:21
A:1584, W:99, H:16
A:1591, W:43, H:37
A:1596, W:28, H:57
A:1596, W:28, H:57
A:1598, W:47, H:34
A:1599, W:39, H:41
A:1606, W:22, H:73
A:1610, W:23, H:70
A:1612, W:31, H:52
A:1617, W:21, H:77
A:1625, W:65, H:25
A:1632, W:48, H:34
A:1633, W:71, H:23
A:1638, W:21, H:78
A:1638, W:26, H:63
A:1643, W:53, H:31
A:1647, W:61, H:27
A:1649, W:97, H:17
A:1650, W:25, H:66
A:1650, W:50, H:33
A:1650, W:30, H:55
A:1652, W:59, H:28
A:1653, W:29, H:57
A:1659, W:21, H:79
A:1664, W:52, H:32
A:1675, W:67, H:25
A:1690, W:65, H:26
A:1690, W:26, H:65
A:1696, W:32, H:53
A:1701, W:21, H:81
A:1710, W:45, H:38
A:1716, W:33, H:52
A:1716, W:44, H:39
A:1720, W:86, H:20
A:1722, W:42, H:41
A:1722, W:42, H:41
A:1740, W:29, H:60
A:1760, W:40, H:44
A:1770, W:30, H:59
A:1775, W:71, H:25
A:1798, W:29, H:62
A:1798, W:31, H:58
A:1800, W:60, H:30
A:1800, W:60, H:30
A:1800, W:90, H:20
A:1806, W:42, H:43
A:1813, W:49, H:37
A:1824, W:38, H:48
A:1825, W:73, H:25
A:1829, W:59, H:31
A:1830, W:30, H:61
A:1836, W:54, H:34
A:1840, W:20, H:92
A:1845, W:45, H:41
A:1846, W:26, H:71
A:1848, W:84, H:22
A:1848, W:42, H:44
A:1848, W:44, H:42
A:1855, W:35, H:53
A:1862, W:49, H:38
A:1863, W:81, H:23
A:1870, W:34, H:55
A:1911, W:39, H:49
A:1917, W:27, H:71
A:1920, W:20, H:96
A:1932, W:28, H:69
A:1932, W:28, H:69
A:1943, W:29, H:67
A:1955, W:23, H:85
A:1961, W:37, H:53
A:1972, W:58, H:34
A:1980, W:45, H:44
A:1980, W:45, H:44
A:1980, W:55, H:36
A:2000, W:25, H:80
A:2000, W:80, H:25
A:2002, W:91, H:22
A:2006, W:34, H:59
A:2016, W:42, H:48
A:2016, W:63, H:32
A:2016, W:32, H:63
A:2016, W:24, H:84
A:2016, W:96, H:21
A:2028, W:52, H:39
A:2040, W:85, H:24
A:2040, W:68, H:30
A:2050, W:50, H:41
A:2058, W:42, H:49
A:2059, W:29, H:71
A:2067, W:39, H:53
A:2070, W:69, H:30
A:2072, W:28, H:74
A:2080, W:40, H:52
A:2093, W:91, H:23
A:2106, W:27, H:78
A:2112, W:66, H:32
A:2112, W:64, H:33
A:2112, W:88, H:24
A:2117, W:29, H:73
A:2134, W:97, H:22
A:2144, W:67, H:32
A:2150, W:86, H:25
A:2156, W:44, H:49
A:2160, W:40, H:54
A:2175, W:29, H:75
A:2175, W:29, H:75
A:2175, W:87, H:25
A:2176, W:64, H:34
A:2178, W:99, H:22
A:2184, W:78, H:28
A:2184, W:84, H:26
A:2240, W:40, H:56
A:2254, W:49, H:46
A:2268, W:27, H:84
A:2275, W:65, H:35
A:2280, W:95, H:24
A:2280, W:30, H:76
A:2288, W:52, H:44
A:2322, W:43, H:54
A:2336, W:73, H:32
A:2340, W:90, H:26
A:2340, W:60, H:39
A:2352, W:48, H:49
A:2365, W:43, H:55
A:2376, W:88, H:27
A:2385, W:53, H:45
A:2392, W:92, H:26
A:2400, W:32, H:75
A:2400, W:60, H:40
A:2407, W:29, H:83
A:2412, W:67, H:36
A:2412, W:36, H:67
A:2436, W:29, H:84
A:2457, W:27, H:91
A:2464, W:56, H:44
A:2508, W:66, H:38
A:2516, W:37, H:68
A:2520, W:63, H:40
A:2544, W:53, H:48
A:2550, W:30, H:85
A:2550, W:34, H:75
A:2553, W:69, H:37
A:2553, W:69, H:37
A:2565, W:95, H:27
A:2574, W:33, H:78
A:2583, W:63, H:41
A:2584, W:76, H:34
A:2585, W:55, H:47
A:2592, W:27, H:96
A:2592, W:36, H:72
A:2604, W:42, H:62
A:2624, W:64, H:41
A:2632, W:94, H:28
A:2640, W:80, H:33
A:2664, W:72, H:37
A:2666, W:31, H:86
A:2666, W:62, H:43
A:2670, W:30, H:89
A:2673, W:27, H:99
A:2679, W:47, H:57
A:2688, W:56, H:48
A:2688, W:48, H:56
A:2691, W:39, H:69
A:2697, W:31, H:87
A:2700, W:27, H:100
A:2700, W:75, H:36
A:2700, W:30, H:90
A:2706, W:33, H:82
A:2714, W:59, H:46
A:2716, W:97, H:28
A:2720, W:40, H:68
A:2720, W:85, H:32
A:2730, W:42, H:65
A:2744, W:49, H:56
A:2752, W:43, H:64
A:2754, W:81, H:34
A:2759, W:89, H:31
A:2760, W:69, H:40
A:2773, W:59, H:47
A:2784, W:87, H:32
A:2788, W:82, H:34
A:2806, W:46, H:61
A:2820, W:60, H:47
A:2822, W:34, H:83
A:2829, W:41, H:69
A:2835, W:81, H:35
A:2844, W:79, H:36
A:2844, W:79, H:36
A:2880, W:90, H:32
A:2880, W:90, H:32
A:2883, W:31, H:93
A:2888, W:38, H:76
A:2898, W:46, H:63
A:2916, W:81, H:36
A:2926, W:77, H:38
A:2928, W:61, H:48
A:2937, W:89, H:33
A:2960, W:40, H:74
A:2960, W:80, H:37
A:2967, W:69, H:43
A:2970, W:30, H:99
A:2975, W:35, H:85
A:2976, W:32, H:93
A:2976, W:32, H:93
A:3000, W:40, H:75
A:3002, W:38, H:79
A:3024, W:56, H:54
A:3036, W:92, H:33
A:3038, W:98, H:31
A:3040, W:76, H:40
A:3042, W:78, H:39
A:3060, W:34, H:90
A:3069, W:31, H:99
A:3075, W:41, H:75
A:3080, W:40, H:77
A:3096, W:36, H:86
A:3100, W:100, H:31
A:3116, W:82, H:38
A:3116, W:82, H:38
A:3120, W:39, H:80
A:3128, W:92, H:34
A:3145, W:37, H:85
A:3150, W:70, H:45
A:3150, W:70, H:45
A:3150, W:50, H:63
A:3168, W:66, H:48
A:3168, W:66, H:48
A:3168, W:96, H:33
A:3192, W:42, H:76
A:3196, W:34, H:94
A:3196, W:94, H:34
A:3198, W:78, H:41
A:3200, W:100, H:32
A:3213, W:63, H:51
A:3219, W:37, H:87
A:3230, W:95, H:34
A:3233, W:53, H:61
A:3237, W:39, H:83
A:3240, W:54, H:60
A:3264, W:96, H:34
A:3268, W:86, H:38
A:3276, W:36, H:91
A:3276, W:39, H:84
A:3276, W:39, H:84
A:3276, W:63, H:52
A:3285, W:45, H:73
A:3294, W:54, H:61
A:3300, W:55, H:60
A:3304, W:59, H:56
A:3311, W:77, H:43
A:3312, W:69, H:48
A:3315, W:85, H:39
A:3320, W:83, H:40
A:3328, W:52, H:64
A:3330, W:45, H:74
A:3344, W:88, H:38
A:3344, W:88, H:38
A:3348, W:62, H:54
A:3354, W:86, H:39
A:3360, W:80, H:42
A:3360, W:48, H:70
A:3381, W:49, H:69
A:3382, W:38, H:89
A:3400, W:100, H:34
A:3402, W:63, H:54
A:3404, W:37, H:92
A:3440, W:86, H:40
A:3441, W:37, H:93
A:3456, W:64, H:54
A:3456, W:48, H:72
A:3458, W:38, H:91
A:3465, W:35, H:99
A:3476, W:79, H:44
A:3478, W:47, H:74
A:3486, W:42, H:83
A:3528, W:84, H:42
A:3528, W:42, H:84
A:3550, W:50, H:71
A:3555, W:79, H:45
A:3555, W:79, H:45
A:3570, W:51, H:70
A:3577, W:73, H:49
A:3600, W:90, H:40
A:3600, W:36, H:100
A:3600, W:45, H:80
A:3610, W:95, H:38
A:3626, W:74, H:49
A:3634, W:46, H:79
A:3645, W:81, H:45
A:3648, W:57, H:64
A:3650, W:73, H:50
A:3652, W:44, H:83
A:3654, W:87, H:42
A:3672, W:51, H:72
A:3690, W:41, H:90
A:3690, W:45, H:82
A:3696, W:42, H:88
A:3724, W:98, H:38
A:3735, W:83, H:45
A:3762, W:66, H:57
A:3776, W:64, H:59
A:3780, W:60, H:63
A:3816, W:53, H:72
A:3822, W:91, H:42
A:3822, W:42, H:91
A:3827, W:89, H:43
A:3827, W:89, H:43
A:3835, W:65, H:59
A:3869, W:73, H:53
A:3871, W:79, H:49
A:3886, W:58, H:67
A:3888, W:54, H:72
A:3895, W:41, H:95
A:3900, W:75, H:52
A:3906, W:42, H:93
A:3915, W:87, H:45
A:3915, W:45, H:87
A:3920, W:70, H:56
A:3960, W:40, H:99
A:3960, W:88, H:45
A:3960, W:72, H:55
A:3969, W:63, H:63
A:3978, W:78, H:51
A:4018, W:49, H:82
A:4018, W:98, H:41
A:4030, W:62, H:65
A:4030, W:65, H:62
A:4032, W:96, H:42
A:4032, W:56, H:72
A:4042, W:43, H:94
A:4060, W:58, H:70
A:4071, W:59, H:69
A:4085, W:43, H:95
A:4088, W:56, H:73
A:4095, W:45, H:91
A:4096, W:64, H:64
A:4116, W:98, H:42
A:4125, W:55, H:75
A:4125, W:55, H:75
A:4158, W:66, H:63
A:4160, W:80, H:52
A:4185, W:93, H:45
A:4185, W:93, H:45
A:4186, W:91, H:46
A:4186, W:46, H:91
A:4209, W:69, H:61
A:4230, W:47, H:90
A:4230, W:90, H:47
A:4233, W:83, H:51
A:4233, W:51, H:83
A:4240, W:80, H:53
A:4264, W:52, H:82
A:4275, W:57, H:75
A:4278, W:69, H:62
A:4278, W:62, H:69
A:4278, W:62, H:69
A:4332, W:57, H:76
A:4347, W:63, H:69
A:4347, W:69, H:63
A:4356, W:66, H:66
A:4356, W:44, H:99
A:4365, W:97, H:45
A:4368, W:56, H:78
A:4380, W:73, H:60
A:4380, W:60, H:73
A:4389, W:77, H:57
A:4400, W:50, H:88
A:4416, W:46, H:96
A:4450, W:89, H:50
A:4466, W:77, H:58
A:4484, W:76, H:59
A:4500, W:75, H:60
A:4505, W:53, H:85
A:4508, W:46, H:98
A:4514, W:61, H:74
A:4524, W:52, H:87
A:4526, W:73, H:62
A:4554, W:69, H:66
A:4560, W:95, H:48
A:4560, W:76, H:60
A:4560, W:57, H:80
A:4582, W:79, H:58
A:4590, W:85, H:54
A:4602, W:78, H:59
A:4611, W:87, H:53
A:4617, W:81, H:57
A:4725, W:63, H:75
A:4732, W:52, H:91
A:4736, W:64, H:74
A:4752, W:72, H:66
A:4761, W:69, H:69
A:4774, W:77, H:62
A:4784, W:92, H:52
A:4794, W:51, H:94
A:4800, W:80, H:60
A:4800, W:64, H:75
A:4823, W:91, H:53
A:4836, W:52, H:93
A:4838, W:82, H:59
A:4845, W:85, H:57
A:4850, W:97, H:50
A:4851, W:49, H:99
A:4875, W:65, H:75
A:4880, W:61, H:80
A:4880, W:80, H:61
A:4891, W:73, H:67
A:4895, W:55, H:89
A:4914, W:54, H:91
A:4929, W:53, H:93
A:4929, W:53, H:93
A:4930, W:85, H:58
A:4950, W:90, H:55
A:4950, W:99, H:50
A:4968, W:72, H:69
A:4992, W:64, H:78
A:5035, W:53, H:95
A:5037, W:73, H:69
A:5040, W:84, H:60
A:5044, W:97, H:52
A:5074, W:59, H:86
A:5096, W:98, H:52
A:5133, W:87, H:59
A:5133, W:87, H:59
A:5148, W:66, H:78
A:5170, W:94, H:55
A:5175, W:69, H:75
A:5184, W:96, H:54
A:5194, W:53, H:98
A:5220, W:90, H:58
A:5238, W:54, H:97
A:5244, W:69, H:76
A:5246, W:86, H:61
A:5248, W:64, H:82
A:5256, W:73, H:72
A:5292, W:63, H:84
A:5292, W:84, H:63
A:5304, W:68, H:78
A:5307, W:87, H:61
A:5312, W:83, H:64
A:5320, W:95, H:56
A:5320, W:70, H:76
A:5320, W:56, H:95
A:5330, W:65, H:82
A:5372, W:79, H:68
A:5376, W:96, H:56
A:5394, W:93, H:58
A:5400, W:72, H:75
A:5402, W:74, H:73
A:5440, W:68, H:80
A:5456, W:88, H:62
A:5460, W:84, H:65
A:5472, W:57, H:96
A:5488, W:56, H:98
A:5494, W:67, H:82
A:5508, W:81, H:68
A:5546, W:94, H:59
A:5546, W:94, H:59
A:5548, W:76, H:73
A:5551, W:61, H:91
A:5551, W:91, H:61
A:5586, W:57, H:98
A:5607, W:89, H:63
A:5616, W:72, H:78
A:5644, W:68, H:83
A:5664, W:59, H:96
A:5664, W:59, H:96
A:5688, W:79, H:72
A:5696, W:64, H:89
A:5700, W:57, H:100
A:5700, W:75, H:76
A:5775, W:77, H:75
A:5782, W:98, H:59
A:5796, W:84, H:69
A:5796, W:63, H:92
A:5822, W:82, H:71
A:5828, W:62, H:94
A:5850, W:75, H:78
A:5856, W:61, H:96
A:5896, W:67, H:88
A:5928, W:76, H:78
A:5980, W:65, H:92
A:6004, W:76, H:79
A:6039, W:61, H:99
A:6072, W:69, H:88
A:6138, W:99, H:62
A:6150, W:75, H:82
A:6150, W:82, H:75
A:6231, W:67, H:93
A:6237, W:99, H:63
A:6264, W:72, H:87
A:6264, W:72, H:87
A:6272, W:98, H:64
A:6290, W:85, H:74
A:6300, W:70, H:90
A:6319, W:71, H:89
A:6320, W:80, H:79
A:6324, W:93, H:68
A:6384, W:76, H:84
A:6390, W:90, H:71
A:6396, W:82, H:78
A:6400, W:80, H:80
A:6417, W:93, H:69
A:6499, W:67, H:97
A:6525, W:75, H:87
A:6545, W:85, H:77
A:6545, W:77, H:85
A:6552, W:72, H:91
A:6557, W:79, H:83
A:6586, W:74, H:89
A:6600, W:100, H:66
A:6622, W:77, H:86
A:6636, W:79, H:84
A:6660, W:90, H:74
A:6693, W:97, H:69
A:6700, W:100, H:67
A:6715, W:79, H:85
A:6720, W:84, H:80
A:6732, W:99, H:68
A:6734, W:91, H:74
A:6762, W:69, H:98
A:6764, W:89, H:76
A:6789, W:73, H:93
A:6825, W:75, H:91
A:6840, W:90, H:76
A:6873, W:79, H:87
A:6887, W:97, H:71
A:6900, W:69, H:100
A:6912, W:72, H:96
A:6960, W:87, H:80
A:6972, W:83, H:84
A:7007, W:77, H:91
A:7050, W:94, H:75
A:7125, W:95, H:75
A:7178, W:74, H:97
A:7189, W:91, H:79
A:7224, W:86, H:84
A:7252, W:74, H:98
A:7280, W:91, H:80
A:7392, W:84, H:88
A:7395, W:87, H:85
A:7565, W:89, H:85
A:7656, W:87, H:88
A:7840, W:80, H:98
A:7905, W:85, H:93
A:7921, W:89, H:89
A:7968, W:96, H:83
A:8000, W:100, H:80
A:8084, W:86, H:94
A:8096, W:92, H:88
A:8096, W:88, H:92
A:8099, W:91, H:89
A:8148, W:97, H:84
A:8148, W:97, H:84
A:8360, W:88, H:95
A:8370, W:93, H:90
A:8370, W:93, H:90
A:8544, W:96, H:89
A:8730, W:90, H:97
A:8827, W:97, H:91
A:8918, W:91, H:98
A:8918, W:98, H:91
A:8930, W:94, H:95
A:9100, W:91, H:100
A:9120, W:96, H:95
A:9400, W:94, H:100
A:9900, W:99, H:100
